city,name,star,property_type,district,address,languages,bbox,coordinates
Moscow,Apartments in Shelepikha-Vistavochnaya,0,Apartments,"Presnensky, Moscow","Shelepikninskoye Shosse 17, Bldg. 3, Presnensky, 123290 Moscow, Russia","Russian, Spanish, English","[('55.616204', '37.281031'), ('55.900884', '37.756761')]","(55.758544, 37.518896)"
Moscow,Apartment on Nosovikhinskoye Shosse 21,0,Apartments,Moscow,"Nosovikhinskoye Shosse 21 Apt.157, 143969 Moscow, Russia",,"[('55.7335765834269', '37.8556216318683'), ('55.7695074165731', '37.9195843681317')]","(55.751542, 37.887603)"
Moscow,Апартаменты в доме с привидениями,0,Apartments,"Yakimanka, Moscow","2 Serafimovicha Ulitsa, Yakimanka, 119072 Moscow, Russia","Russian, English","[('55.712719', '37.5753827570084'), ('55.775267', '37.6508672429916')]","(55.743993, 37.613125)"
Moscow,Apartment on Sergiya Radonezhskogo 8,0,Apartments,"Tagansky, Moscow","Ulitsa Sergiya Radonezhskogo 8, Tagansky, 105120 Moscow, Russia","Russian, English","[('55.745427', '37.6679'), ('55.747527', '37.682464')]","(55.746477, 37.675182)"
Moscow,"Apartamenty Uyut ""Dinamo""",0,Apartments,"Savelovsky, Moscow","6 Ulitsa Verkhnyaya Maslovka, Savelovsky, 127083 Moscow, Russia",,"[('55.703524', '37.49466'), ('55.882734', '37.639914')]","(55.793129, 37.567287)"
Moscow,Apartment on Dolgorukovskaya 5,0,Apartments,"Tverskoy, Moscow","Ulitsa Dolgorukovskaya 5 , Tverskoy, 127006 Moscow, Russia","Russian, English","[('55.7229591586297', '37.531606726181'), ('55.8235708413703', '37.675791273819')]","(55.773265, 37.603699)"
Moscow,Apartment Altufyevskoye shosse 78,0,Apartments,Moscow,"78 Altufyevskoye shosse 342, 127349 Moscow, Russia","Russian, English","[('55.72728882077', '37.424361325035'), ('56.0597640037908', '37.7517968416214')]","(55.8935264122804, 37.5880790833282)"
Moscow,Best place for basing,0,Apartments,Moscow,"ул. Миклухо-Маклая, 43, Москва, Россия, 117485, 117485 Moscow, Russia","Russian, English","[('55.628413', '37.4873669999999'), ('55.6596788130852', '37.5604107421475')]","(55.6440459065426, 37.5238888710737)"
Moscow,A panoramic view apart,0,Apartments,"Butyrsky, Moscow","Novodmitrovskaya str, 2 / 6, app 502., Butyrsky, 127018 Moscow, Russia","Russian, Spanish, English","[('55.7859545834269', '37.558091618907'), ('55.8218854165731', '37.622140381093')]","(55.80392, 37.590116)"
Moscow,One-bedroom apartment near Luzhniki,0,Apartments,"Third Transport Ring, Moscow","Ulitsa Kiyevskaya, Dorogomilovo, 121165 Moscow, Russia",,"[('55.711974', '37.492353880951'), ('55.76355', '37.589046119049')]","(55.737762, 37.5407)"
Moscow,Apartment Novoshchukinskaya 9,0,Apartments,"Schukino, Moscow","9 Novoshchukinskaya Ulitsa, Schukino, 123098 Moscow, Russia",,"[('55.765718', '37.2269892997894'), ('55.844062', '37.6803267002106')]","(55.80489, 37.453658)"
Moscow,Apartment Akademika Bakuleva,0,Apartments,Moscow,"Ulitsa Akademika Bakuleva, 6, ap 236, 117513 Moscow, Russia","Ukrainian, Russian, English","[('55.5385628102072', '37.3509712896576'), ('55.7477431897928', '37.6205027103424')]","(55.643153, 37.485737)"
Moscow,Pistsova Apartment,0,Apartments,"Savelovsky, Moscow","Ulitsa Pistsova 15, Savelovsky, 127220 Moscow, Russia",,"[('55.7171700849377', '37.4657824762939'), ('55.8769019150623', '37.6737499237061')]","(55.797036, 37.5697662)"
Moscow,Vstrechi na Arbate Hostel,0,Hostels,"Arbat, Moscow","Malyy Nikolopeskovskiy Pereulok, 11/2, Arbat, 119002 Moscow, Russia","Ukrainian, Russian, English","[('55.7327024523923', '37.5513761356124'), ('55.7701642477206', '37.63166')]","(55.7514333500565, 37.5915180678062)"
Moscow,Apartments Zvenigorodskoe Shosse 13-023,0,Apartments,"Presnensky, Moscow","Звенигородское шоссе 13, Presnensky, 123022 Moscow, Russia",,"[('55.6706794041371', '37.5231387767791'), ('55.8579939475325', '37.5741541385651')]","(55.7643366758348, 37.5486464576721)"
Moscow,2BR @Kamergerskiy lane 5,0,Apartments,"Tverskoy, Moscow","Kamergerskiy pereulok, Tverskoy, 125009 Moscow, Russia","Russian, English","[('55.7397835620032', '37.5386571951065'), ('55.7803544379968', '37.6922868048935')]","(55.760069, 37.615472)"
Moscow,Apartments Begovaya,0,Apartments,"Horoshovsky, Moscow","3 2-Y Khoroshevskiy Proyezd, Horoshovsky, 123007 Moscow, Russia","Russian, English","[('55.7563185834269', '37.5040469735596'), ('55.7922494165731', '37.5680470264404')]","(55.774284, 37.536047)"
Moscow,Апартаменты на Академической,0,Apartments,"Akademicheskiy, Moscow","Bol'shaya Cheremushkinskaya Ulitsa, Akademicheskiy, 117218 Moscow, Russia",,"[('55.574449', '37.544829'), ('55.788417', '37.623393')]","(55.681433, 37.584111)"
Moscow,Апартаменты у м.Кропоткинская,0,Apartments,"Khamovniki, Moscow","Starokonyushennyy Pereulok 25 15/25 Sivtsev Vrazhek Pereulok, Khamovniki, 119002 Moscow, Russia","Russian, Italian, English","[('55.722164161763', '37.576202516861'), ('55.7727549403758', '37.61368')]","(55.7474595510694, 37.5949412584305)"
Moscow,Versal Apartments,0,Apartments,"Tverskoy, Moscow","1-ya Brestskaya Ulitsa 33 stroenie 1 flat 29, Tverskoy, 125047 Moscow, Russia","Russian, English","[('55.7228940593959', '37.371919'), ('55.822857', '37.8059218687867')]","(55.7728755296979, 37.5889204343933)"
Moscow,Moskva4you on Zatsepa 32,0,Apartments,"Zamoskvorechye, Moscow","Ulitsa Zatsepa 32, Zamoskvorechye, 115054 Moscow, Russia","Russian, English","[('55.689668', '37.5308441'), ('55.769884', '37.7310159')]","(55.729776, 37.63093)"
Moscow,MneNaSutki Prague,0,Apartments,"Tverskoy, Moscow","Vadkovskiy pereulok, Tverskoy, 127055 Moscow, Russia",,"[('55.743772790216', '37.549711005171'), ('55.835621609784', '37.6421523948288')]","(55.7896972, 37.5959316999999)"
Moscow,"Апартаменты на Земляной Вал, 41с1",0,Apartments,"Tagansky, Moscow","улица Земляной Вал, 41с1, kvartira 49, Tagansky, 105120 Moscow, Russia",,"[('55.66352', '37.5415468274841'), ('55.845248', '37.7732851725159')]","(55.754384, 37.657416)"
Moscow,Moskva4you Komsomolskiy Prospekt 9,0,Apartments,"Khamovniki, Moscow","Komsomolskiy  Prospect, 9, Khamovniki, 119146 Moscow, Russia","Russian, English","[('55.6784335315565', '37.5239278793763'), ('55.7826424684435', '37.6575301206237')]","(55.730538, 37.590729)"
Moscow,Zazerkalye Energeticheskaya Mini-hotel,0,Inns,"Lefortovo, Moscow","Ulitsa Energeticheskaya 3, Lefortovo, 111116 Moscow, Russia",,"[('55.6454215823332', '37.5674163313522'), ('55.8758942711986', '37.8428958971756')]","(55.7606579267659, 37.7051561142639)"
Moscow,Intermark Leninskiy,0,Apartments,"Gagarinsky, Moscow","5к2 prospekt 60-letiya Oktyabrya, Gagarinsky, 119334 Moscow, Russia","Russian, English","[('55.6866585834269', '37.5490950404376'), ('55.7225894165731', '37.6129809595624')]","(55.704624, 37.581038)"
Moscow,Apartment on Prospekt Vernadskogo,0,Apartments,Moscow,"Prospekt Vernadskogo 27, 119331 Moscow, Russia",,"[('55.6429133853841', '37.4367093076706'), ('55.7203306146159', '37.5997906923294')]","(55.681622, 37.51825)"
Moscow,Moskva4you on Serpukhovskiy Val,0,Apartments,"Third Transport Ring, Moscow","14 Ulitsa Serpukhovskiy Val, Danilovsky, 115191 Moscow, Russia","Russian, English","[('55.639558', '37.566966'), ('55.78481', '37.662832')]","(55.712184, 37.614899)"
Moscow,Cozy Studio on Yugo-Zapadnaya,0,Apartments,"Prospekt Vernadskogo, Moscow","Ulitsa Koshtoyantsa 31, Prospekt Vernadskogo, 119454 Moscow, Russia","Russian, English","[('55.5746792974507', '37.31481134306'), ('55.7769598', '37.666336')]","(55.6758195487254, 37.49057367153)"
Moscow,MneNaSutki apartment 2 on Mosfilmovskaya Street,0,Apartments,"Ramenki, Moscow","Mosfil'movskaya Ulitsa 74Б, Ramenki, 119021 Moscow, Russia",,"[('55.5688702436867', '37.2200593627044'), ('55.8520877563133', '37.7903846372956')]","(55.710479, 37.505222)"
Moscow,Apartment Na Kutuzovskiy Prospect,0,Apartments,"Third Transport Ring, Moscow","Kutuzovskiy Prospekt, 35/32, Dorogomilovo, 121165 Moscow, Russia",,"[('55.7222200063642', '37.5055146140302'), ('55.7581508395104', '37.5694587357073')]","(55.7401854229373, 37.5374866748688)"
Moscow,Business Brusnika Generala Antonova 4,0,Apartments,Moscow,"ulitsa Generala Antonova 4, 117342 Moscow, Russia","Russian, English","[('55.4397473448655', '37.4204177412117'), ('55.8493790736257', '37.6480838656425')]","(55.6445632092456, 37.5342508034271)"
Moscow,Luxcompany Apartment Shabolovskaya,0,Apartments,"Third Transport Ring, Moscow","Ulitsa Shukhova 17 Bldg 1 , Danilovsky, 115162 Moscow, Russia",,"[('55.6742330437031', '37.5661464'), ('55.7587322582538', '37.6554210519539')]","(55.7164826509784, 37.6107837259769)"
Moscow,Studio Financial District,0,Apartments,"Presnensky, Moscow","Krasnogvardeysky Bulvar 5, Bldg 1, Presnensky, 123317 Moscow, Russia","Russian, Spanish, English","[('55.7174475374582', '37.418599'), ('55.8015334698476', '37.6662772037049')]","(55.7594905036529, 37.5424381018524)"
Moscow,City Apartments Taganskaya2,0,Apartments,"Tagansky, Moscow","Stroykovskaya Ulitsa, Tagansky, 109316 Moscow, Russia","Russian, English","[('55.68785599', '37.560557'), ('55.78145801', '37.787267')]","(55.734657, 37.673912)"
Moscow,Fortline Apartment Belorusskaya,0,Apartments,"Third Transport Ring, Moscow","Leningradskiy Prospekt 4/2, Begovoy, 115419 Moscow, Russia","Russian, English","[('55.747933', '37.551236'), ('55.809541', '37.6131379999999')]","(55.778737, 37.582187)"
Moscow,Гостиница L&G,0,Inns,"Ramenki, Moscow","Улица Столетова 7, корп.1, Ramenki, 119192 Moscow, Russia",,"[('55.6730076246183', '37.4149155849853'), ('55.7390389483763', '37.5902271037659')]","(55.7060232864973, 37.5025713443756)"
Moscow,ibis budget Moscow Panfilovskaya Hotel,0,Hotels,"Schukino, Moscow","Ulitsa Marshala Rybalko 2, Bldg.5, Schukino, 123060 Moscow, Russia","Russian, English","[('55.66352', '37.3741382281722'), ('55.9349961837003', '37.6168591951065')]","(55.7992580918502, 37.4954987116394)"
Moscow,Apartament Milan on 800-letiya Moskvy,0,Apartments,Moscow,"800-letiya Moskvy street 11, 127591 Moscow, Russia","Russian, English","[('55.714205', '37.3559480274841'), ('56.0479108', '37.7732851725159')]","(55.8810579, 37.5646166)"
Moscow,Apartments Ostrovitianova 9,0,Apartments,Moscow,"Ulitsa Ostrovitianova, 9, 117198 Moscow, Russia","Russian, English","[('55.6276922', '37.4191108'), ('55.660302', '37.572535')]","(55.6439971, 37.4958229)"
Moscow,FortEstate Novatorov 4,0,Apartments,Moscow,"Ulitsa Novatorov, 4 , 119421 Moscow, Russia","Russian, English","[('55.4744861879764', '37.4602305506801'), ('55.863745', '37.5825776159763')]","(55.6691155939882, 37.5214040833282)"
Moscow,Apartment on Noviy Arbat 22,0,Apartments,"Arbat, Moscow","Новый Арбат 22, Arbat, 119019 Moscow, Russia","Russian, English","[('55.730859', '37.550605026062'), ('55.7749013406794', '37.631542')]","(55.7528801703397, 37.591073513031)"
Moscow,Na Paveletskoy Apartment,0,Apartments,"Zamoskvorechye, Moscow","Ulitsa Dubininskaya 11/17, Bldg 2, Zamoskvorechye, 115004 Moscow, Russia",,"[('55.713942139543', '37.5682693719864'), ('55.74193984826', '37.7085031568497')]","(55.7279409939015, 37.638386264418)"
Moscow,Dream House Smolenskaya 2,0,Apartments,"Arbat, Moscow","1-y Smolenskiy pereulok  22 str 10 apt 34, Arbat, 121099 Moscow, Russia","Russian, English","[('55.7278250035685', '37.5617664122047'), ('55.7713823171661', '37.599255')]","(55.7496036603673, 37.5805107061024)"
Moscow,Intermark Expo Apartments,0,Apartments,"Third Transport Ring, Moscow","Kutuzovsky Prospekt 24, Dorogomilovo, 121151 Moscow, Russia","Russian, English","[('55.7266075601836', '37.513469458503'), ('55.7625383933298', '37.5774207702453')]","(55.7445729767567, 37.5454451143742)"
Moscow,Moskva4you on Goncharnyy Proyezd,0,Apartments,"Tagansky, Moscow","6 Goncharnyy Proyezd строение 1, Tagansky, 115172 Moscow, Russia","Russian, English","[('55.7080315522794', '37.572387'), ('55.7701642477206', '37.726043')]","(55.7390979, 37.649215)"
