city,name,star,property_type,district,address,languages,bbox,coordinates
Tbilisi,Cozy Home,0,Aparthotels,"Tbilisi City Centre, Tbilisi City","Grigol Khandzteli Street 4/10, flat N 3, 0105 Tbilisi City, Georgia","Russian, English","[('41.686055001622', '44.788492'), ('41.702116', '44.8226267379838')]","(41.694085500811, 44.8055593689919)"
Tbilisi,Exclusive Tbilisi,0,Apartments,"Tbilisi City Centre, Tbilisi City","Gia Chanturia Street, 5, Ap.10, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, English","[('41.689842', '44.7854098661687'), ('41.7090750518919', '44.8146146759186')]","(41.699458525946, 44.8000122710437)"
Tbilisi,Shashi Apartment,0,Apartments,"Old Tbilisi, Tbilisi City","6 Ierusalimi Squire, apartment 6, floor 2, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.679933018403', '44.773876206503'), ('41.700709', '44.8384091')]","(41.6903210092015, 44.8061426532515)"
Tbilisi,Downtown Tbilisi,0,Apartments,"Tbilisi City Centre, Tbilisi City","2a Zviad Gamsakhurdia Named Right Bank, Mtatsminda , 0105 Tbilisi City, Georgia","Russian, Portuguese, Italian, French, Spanish, English","[('41.6864033276444', '44.777375335582'), ('41.7091601', '44.8349259662703')]","(41.6977817138222, 44.8061506509262)"
Tbilisi,Apartment Aghmashenebeli Old Tbilisi,0,Apartments,"Chugureti, Tbilisi City","10/9 Aghmashenebeli Ave., Floor 2, Apt. 22 , Chugureti, 0102 Tbilisi City, Georgia","Russian, Georgian","[('41.68595717875', '44.7734460106585'), ('41.7203152655048', '44.8349690437317')]","(41.7031362221274, 44.8042075271951)"
Tbilisi,Opera Apartment Very Heart Of Tbilisi,0,Apartments,"Tbilisi City Centre, Tbilisi City","6 Vaso Abashidze Street flat 18, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, English","[('41.690102', '44.728501'), ('41.711278', '44.865377')]","(41.70069, 44.796939)"
Tbilisi,Apartment in the center of Tbilisi,0,Apartments,"Tbilisi City Centre, Tbilisi City","Purceladze str 14, Mtatsminda , 0103 Tbilisi City, Georgia","Russian, English","[('41.6873345242743', '44.7895343094703'), ('41.7075984757257', '44.8135266905297')]","(41.6974665, 44.8015305)"
Tbilisi,Yango Apartment,0,Apartments,"Chugureti, Tbilisi City","81 Davit Aghmashenebeli Avenue, floor 1, Chugureti, 0102 Tbilisi City, Georgia","Russian, Georgian, English","[('41.690102', '44.7307924940843'), ('41.7274633434045', '44.865377')]","(41.7087826717023, 44.7980847470421)"
Tbilisi,GREEN Studio Apartment,0,Apartments,"Old Tbilisi, Tbilisi City","54 Lado Asatiani Street, 0105 Tbilisi City, Georgia","Russian, English","[('41.6713085834269', '44.773350885576'), ('41.7072394165731', '44.821555114424')]","(41.689274, 44.797453)"
Tbilisi,Apartment in the heart of Old Tbilisi,0,Apartments,"Avlabari, Tbilisi City","39 jorbenadze Street, Avlabari, 0103 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6869358473245', '44.7971590328962'), ('41.692648', '44.8352510247759')]","(41.6897919236622, 44.8162050288361)"
Tbilisi,Wonderfull panoroma,0,Apartments,"Saburtalo, Tbilisi City","Merab Aleksidze Street 5/44, Saburtalo, 0191 Tbilisi City, Georgia","Turkish, English","[('41.6606932688543', '44.7399239001861'), ('41.7742847311457', '44.8288520998139')]","(41.717489, 44.784388)"
Tbilisi,Apartment Ramaz,0,Apartments,"Chugureti, Tbilisi City","Khetagurovi Street #4 3 падезд, 4 етаж, квартира 54, Chugureti, 0102 Tbilisi City, Georgia","Russian, Georgian","[('41.6315610376772', '44.7673069685698'), ('41.7727704281032', '44.847108386457')]","(41.7021657328902, 44.8072076775134)"
Tbilisi,Mariam's Apartment Near Opera,0,Apartments,"Mtatsminda , Tbilisi City","Rezo Tabukashvili Turn/Mari Brosse #3, App 1, Mtatsminda , 0108 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6872627334827', '44.770525158383'), ('41.7150618733111', '44.8263918841258')]","(41.7011623033969, 44.7984585212544)"
Tbilisi,Dom xeivani,0,Holiday homes,Tbilisi City,"Ortachala,  tbilisi, georgia, street xeivani2 Stroenie, ylica xeivani2/witlanadze26/, 0114 Tbilisi City, Georgia",,"[('41.6469607826715', '44.7805512919961'), ('41.7058892173285', '44.8526207080039')]","(41.676425, 44.816586)"
Tbilisi,Hotel Rich,0,Hotels,Tbilisi City,"Richard Holbrooke Street 1, 0101 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6418683741612', '44.7675195336342'), ('41.7171695607139', '44.9081102013588')]","(41.6795189674376, 44.8378148674965)"
Tbilisi,Marinas Apartments,0,Apartments,"Saburtalo, Tbilisi City","Kvernadze Str. 30, Saburtalo, 0171 Tbilisi City, Georgia","Russian, English, German","[('41.687463', '44.7527526397033'), ('41.7510119233853', '44.814313')]","(41.7192374616927, 44.7835328198516)"
Tbilisi,Zandukeli Apartments,0,Apartments,Tbilisi City,"19 Betlemi Street, 0105 Tbilisi City, Georgia","Russian, Georgian, English","[('41.6660166870326', '44.7919861513794'), ('41.7125368140867', '44.8217094842026')]","(41.6892767505597, 44.806847817791)"
